"name","authors","year","base","booktitle","doi"
"A case study of program comprehension effort and technical debt estimations","V. Singh and L. L. Pollock and W. Snipes and N. A. Kraft",2016,"[""IEEE""]","2016 IEEE 24th International Conference on Program Comprehension (ICPC)","10.1109/ICPC.2016.7503710"
"A data-driven color feature learning scheme for image retrieval","R. Rama Varior and G. Wang",2015,"[""IEEE""]","2015 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","10.1109/ICASSP.2015.7178187"
"Automatic Identification of Important Clones for Refactoring and Tracking","M. Mondal and C. K. Roy and K. A. Schneider",2014,"[""IEEE"",""Engineering Village""]","2014 IEEE 14th International Working Conference on Source Code Analysis and Manipulation","10.1109/SCAM.2014.11"
"Impact Analysis Using Static Execute After in WebKit","J. J´sz and L. Schrettner and Á. Beszédes and C. Osztrogon´c and T. Gyimóthy",2012,"[""IEEE"",""Engineering Village""]","2012 16th European Conference on Software Maintenance and Reengineering","10.1109/CSMR.2012.20"
"The Impact of Human Discussions on Just-in-Time Quality Assurance: An Empirical Study on OpenStack and Eclipse","P. Tourani and B. Adams",2016,"[""IEEE""]","2016 IEEE 23rd International Conference on Software Analysis, Evolution, and Reengineering (SANER)","10.1109/SANER.2016.113"
"Automatically Extracting Instances of Code Change Patterns with AST Analysis","M. Martinez and L. Duchien and M. Monperrus",2013,"[""IEEE"",""Engineering Village""]","2013 IEEE International Conference on Software Maintenance","10.1109/ICSM.2013.54"
"A dataset from change history to support evaluation of software maintenance tasks","B. Dit and A. Holtzhauer and D. Poshyvanyk and H. Kagdi",2013,"[""IEEE"",""Engineering Village""]","2013 10th Working Conference on Mining Software Repositories (MSR)","10.1109/MSR.2013.6624019"
"Parallel Implementation of a Combined Moment Expansion and Spherical-Multipole Time-Domain Near-Field to Far-Field Transformation","G. L. Ramos and C. G. Rego and A. R. Fonseca",2014,"[""IEEE"",""Engineering Village""]",,"10.1109/TMAG.2013.2280796"
"Why are Commits Being Reverted?: A Comparative Study of Industrial and Open Source Projects","J. Shimagaki and Y. Kamei and S. McIntosh and D. Pursehouse and N. Ubayashi",2016,"[""IEEE""]","2016 IEEE International Conference on Software Maintenance and Evolution (ICSME)","10.1109/ICSME.2016.83"
"Recommending Clones for Refactoring Using Design, Context, and History","W. Wang and M. W. Godfrey",2014,"[""IEEE"",""Engineering Village""]","2014 IEEE International Conference on Software Maintenance and Evolution","10.1109/ICSME.2014.55"
"A comparative analysis of evolutionary algorithms for the prediction of software change","L. Kaur and A. Mishra",2018,"[""IEEE""]","2018 International Conference on Innovations in Information Technology (IIT)","10.1109/INNOVATIONS.2018.8605988"
"Insight into a method co-change pattern to identify highly coupled methods: An empirical study","M. Mondal and C. K. Roy and K. A. Schneider",2013,"[""IEEE"",""Engineering Village""]","2013 21st International Conference on Program Comprehension (ICPC)","10.1109/ICPC.2013.6613838"
"[Research Paper] Periodic Developer Metrics in Software Defect Prediction","S. Ozcan Kini and A. Tosun",2018,"[""IEEE""]","2018 IEEE 18th International Working Conference on Source Code Analysis and Manipulation (SCAM)","10.1109/SCAM.2018.00016"
"Characterizing the roles of classes and their fault-proneness through change metrics","M. Steff and B. Russo",2012,"[""IEEE"",""ACM"",""Engineering Village""]","Proceedings of the 2012 ACM-IEEE International Symposium on Empirical Software Engineering and Measurement","10.1145/2372251.2372261"
"Tool for detecting standardwise differences in C++ legacy code","T. Brunner and N. Pataki and Z. Porkolab",2015,"[""IEEE"",""Engineering Village""]","2015 IEEE 13th International Scientific Conference on Informatics","10.1109/Informatics.2015.7377808"
"Visualizing a Tangled Change for Supporting Its Decomposition and Commit Construction","S. Sothornprapakorn and S. Hayashi and M. Saeki",2018,"[""IEEE"",""Engineering Village""]","2018 IEEE 42nd Annual Computer Software and Applications Conference (COMPSAC)","10.1109/COMPSAC.2018.00018"
"Improved query reformulation for concept location using CodeRank and document structures","M. M. Rahman and C. K. Roy",2017,"[""IEEE"",""Engineering Village""]","2017 32nd IEEE/ACM International Conference on Automated Software Engineering (ASE)","10.1109/ASE.2017.8115655"
"Method-level bug prediction","E. Giger and M. D'Ambros and M. Pinzger and H. C. Gall",2012,"[""IEEE""]","Proceedings of the 2012 ACM-IEEE International Symposium on Empirical Software Engineering and Measurement","10.1145/2372251.2372285"
"Quantum cost realization of new reversible gates with transformation based synthesis technique","Jayashree H. V and V. K. Agrawal and Shishir Bharadwaj N",2015,"[""IEEE"",""Engineering Village""]","2015 International Conference on VLSI Systems, Architecture, Technology and Applications (VLSI-SATA)","10.1109/VLSI-SATA.2015.7050491"
"Understanding regression failures through test-passing and test-failing code changes","R. Sukkerd and I. Beschastnikh and J. Wuttke and S. Zhang and Y. Brun",2013,"[""IEEE""]","2013 35th International Conference on Software Engineering (ICSE)","10.1109/ICSE.2013.6606672"
"A Replication Study: Just-in-Time Defect Prediction with Ensemble Learning","S. Young and T. Abdou and A. Bener",2018,"[""IEEE"",""ACM"",""Engineering Village""]","2018 IEEE/ACM 6th International Workshop on Realizing Artificial Intelligence Synergies in Software Engineering (RAISE)",""
"Will This Bug-Fixing Change Break Regression Testing?","X. Tang and S. Wang and K. Mao",2015,"[""IEEE"",""Engineering Village""]","2015 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM)","10.1109/ESEM.2015.7321218"
"Synthesizing Object Transformation for Dynamic Software Updating","T. Gu and X. Ma and C. Xu and Y. Jiang and C. Cao and J. Lü",2017,"[""IEEE"",""ACM""]","2017 IEEE/ACM 39th International Conference on Software Engineering Companion (ICSE-C)","10.1109/ICSE-C.2017.96"
"Leveraging historical co-change information for requirements traceability","N. Ali and F. Jaafar and A. E. Hassan",2013,"[""IEEE""]","2013 20th Working Conference on Reverse Engineering (WCRE)","10.1109/WCRE.2013.6671311"
"Semantic Versioning versus Breaking Changes: A Study of the Maven Repository","S. Raemaekers and A. van Deursen and J. Visser",2014,"[""IEEE""]","2014 IEEE 14th International Working Conference on Source Code Analysis and Manipulation","10.1109/SCAM.2014.30"
"Code Vault","G. J. Holzmann",2018,"[""IEEE""]",,"10.1109/MS.2018.3571225"
"A Support Vector Machine Based Approach for Code Smell Detection","A. Kaur and S. Jain and S. Goel",2017,"[""IEEE"",""Engineering Village""]","2017 International Conference on Machine Learning and Data Science (MLDS)","10.1109/MLDS.2017.8"
"SPCP-Miner: A tool for mining code clones that are important for refactoring or tracking","M. Mondal and C. K. Roy and K. A. Schneider",2015,"[""IEEE""]","2015 IEEE 22nd International Conference on Software Analysis, Evolution, and Reengineering (SANER)","10.1109/SANER.2015.7081861"
"An Empirical Examination of the Relationship between Code Smells and Merge Conflicts","I. Ahmed and C. Brindescu and U. A. Mannan and C. Jensen and A. Sarma",2017,"[""IEEE"",""ACM"",""Engineering Village""]","2017 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM)","10.1109/ESEM.2017.12"
"Classifying Code Comments in Java Mobile Applications","L. Pascarella",2018,"[""IEEE"",""ACM"",""Engineering Village""]","2018 IEEE/ACM 5th International Conference on Mobile Software Engineering and Systems (MOBILESoft)",""
"Lase: Locating and applying systematic edits by learning from examples","N. Meng and M. Kim and K. S. McKinley",2013,"[""IEEE"",""ACM"",""Engineering Village""]","2013 35th International Conference on Software Engineering (ICSE)","10.1109/ICSE.2013.6606596"
"Learning Feature Representations from Change Dependency Graphs for Defect Prediction","P. Loyola and Y. Matsuo",2017,"[""IEEE"",""Engineering Village""]","2017 IEEE 28th International Symposium on Software Reliability Engineering (ISSRE)","10.1109/ISSRE.2017.30"
"Landfill: An Open Dataset of Code Smells with Public Evaluation","F. Palomba and D. Di Nucci and M. Tufano and G. Bavota and R. Oliveto and D. Poshyvanyk and A. De Lucia",2015,"[""IEEE"",""Engineering Village""]","2015 IEEE/ACM 12th Working Conference on Mining Software Repositories","10.1109/MSR.2015.69"
"Do historical metrics and developers communication aid to predict change couplings?","I. S. Wiese and R. T. Kuroda and R. Ré and R. S. Bulhóes and G. A. Oliva and M. A. Gerosa",2015,"[""IEEE"",""Engineering Village""]",,"10.1109/TLA.2015.7164225"
"Extracting artifact lifecycle models from metadata history","O. Baysal and O. Kononenko and R. Holmes and M. W. Godfrey",2013,"[""IEEE"",""Engineering Village""]","2013 1st International Workshop on Data Analysis Patterns in Software Engineering (DAPSE)","10.1109/DAPSE.2013.6603803"
"Configuration selection using code change impact analysis for regression testing","X. Qu and M. Acharya and B. Robinson",2012,"[""IEEE"",""Engineering Village""]","2012 28th IEEE International Conference on Software Maintenance (ICSM)","10.1109/ICSM.2012.6405263"
"Effectiveness of discriminative training and feature transformation for reverberated and noisy speech","Y. Tachioka and S. Watanabe and J. R. Hershey",2013,"[""IEEE""]","2013 IEEE International Conference on Acoustics, Speech and Signal Processing","10.1109/ICASSP.2013.6639006"
"An Exploratory Study on the Relationship between Changes and Refactoring","F. Palomba and A. Zaidman and R. Oliveto and A. De Lucia",2017,"[""IEEE""]","2017 IEEE/ACM 25th International Conference on Program Comprehension (ICPC)","10.1109/ICPC.2017.38"
"Using Co-change Histories to Improve Bug Localization Performance","C. Tantithamthavorn and A. Ihara and K. Matsumoto",2013,"[""IEEE"",""Engineering Village""]","2013 14th ACIS International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing","10.1109/SNPD.2013.92"
"Domino Effect: Move More Methods Once a Method is Moved","H. Liu and Y. Wu and W. Liu and Q. Liu and C. Li",2016,"[""IEEE""]","2016 IEEE 23rd International Conference on Software Analysis, Evolution, and Reengineering (SANER)","10.1109/SANER.2016.14"
"GiveMe Trace: A Software Evolution Traceability Support Tool","C. A. Silveira Lelis and J. Fernandes Tavares and M. A. Pereira Araujo and J. M. Nazar David",2016,"[""IEEE""]",,"10.1109/TLA.2016.7587653"
"Confusion Detection in Code Reviews","F. Ebert and F. Castor and N. Novielli and A. Serebrenik",2017,"[""IEEE"",""Engineering Village""]","2017 IEEE International Conference on Software Maintenance and Evolution (ICSME)","10.1109/ICSME.2017.40"
"Model Change Detection With the MDL Principle","K. Yamanishi and S. Fukushima",2018,"[""IEEE"",""Engineering Village""]",,"10.1109/TIT.2018.2852747"
"The employment of online self-learning coding course to enhance logical reasoning ability for fifth and sixth grader students","K. Yang and C. Tsai and L. Lee and C. Chen",2016,"[""IEEE"",""Engineering Village""]","2016 International Conference on Applied System Innovation (ICASI)","10.1109/ICASI.2016.7539890"
"Changing the Code® culture","B. Brenner",2015,"[""IEEE""]","2015 IEEE IAS Electrical Safety Workshop","10.1109/ESW.2015.7094955"
"Assessing Change Proneness at the Architecture Level: An Empirical Validation","E. M. Arvanitou and A. Ampatzoglou and K. Tzouvalidis and A. Chatzigeorgiou and P. Avgeriou and I. Deligiannis",2017,"[""IEEE"",""Engineering Village""]","2017 24th Asia-Pacific Software Engineering Conference Workshops (APSECW)","10.1109/APSECW.2017.21"
"Vectorization-Aware Loop Optimization with User-Defined Code Transformations","H. Takizawa and T. Reimann and K. Komatsu and T. Soga and R. Egawa and A. Musa and H. Kobayashi",2017,"[""IEEE"",""Engineering Village""]","2017 IEEE International Conference on Cluster Computing (CLUSTER)","10.1109/CLUSTER.2017.102"
"Untangling fine-grained code changes","M. Dias and A. Bacchelli and G. Gousios and D. Cassou and S. Ducasse",2015,"[""IEEE"",""Engineering Village""]","2015 IEEE 22nd International Conference on Software Analysis, Evolution, and Reengineering (SANER)","10.1109/SANER.2015.7081844"
"CUDA multiclass change detection for remote sensing hyperspectral images using extended morphological profiles","J. López-Fandiño and D. B. Heras and F. Argüello and R. J. Duro",2017,"[""IEEE"",""Engineering Village""]","2017 9th IEEE International Conference on Intelligent Data Acquisition and Advanced Computing Systems: Technology and Applications (IDAACS)","10.1109/IDAACS.2017.8095113"
"A longitudinal study of programmers' backtracking","Y. S. Yoon and B. A. Myers",2014,"[""IEEE"",""Engineering Village""]","2014 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC)","10.1109/VLHCC.2014.6883030"
"Malware Detection using Opcode Trigram Sequence with SVM","A. I. Elkhawas and N. Abdelbaki",2018,"[""IEEE""]","2018 26th International Conference on Software, Telecommunications and Computer Networks (SoftCOM)","10.23919/SOFTCOM.2018.8555738"
"Investigating the Change-Proneness of Service Patterns and Antipatterns","F. Palma and L. An and F. Khomh and N. Moha and Y. Guéhéneuc",2014,"[""IEEE"",""Engineering Village""]","2014 IEEE 7th International Conference on Service-Oriented Computing and Applications","10.1109/SOCA.2014.43"
"Towards model checking of computer games with Java PathFinder","N. Shafiei and F. van Breugel",2013,"[""IEEE"",""ACM""]","2013 3rd International Workshop on Games and Software Engineering: Engineering Computer Games to Enable Positive, Progressive Change (GAS)","10.1109/GAS.2013.6632584"
"Fatiguing STDP: Learning from spike-timing codes in the presence of rate codes","T. Moraitis and A. Sebastian and I. Boybat and M. Le Gallo and T. Tuma and E. Eleftheriou",2017,"[""IEEE"",""Engineering Village""]","2017 International Joint Conference on Neural Networks (IJCNN)","10.1109/IJCNN.2017.7966072"
"Class Level Code Summarization Based on Dependencies and Micro Patterns","M. Malhotra and J. Kumar Chhabra",2018,"[""IEEE""]","2018 Second International Conference on Inventive Communication and Computational Technologies (ICICCT)","10.1109/ICICCT.2018.8473199"
